Número do Bem,Motivo
1787701957650,Falha na requisição HTTP
1444420275811,Falha na requisição HTTP
8444410358836,Falha na requisição HTTP
1444410120050,Falha na requisição HTTP
8444416981780,Falha na requisição HTTP
8787702102931,Falha na requisição HTTP
1787700271240,Falha na requisição HTTP
8444422646220,Falha na requisição HTTP
1787701121535,Falha na requisição HTTP
8444407717715,Falha na requisição HTTP
1444421729115,Falha na requisição HTTP
8444421342448,Falha na requisição HTTP
8555538295077,Falha na requisição HTTP
8555509166809,Falha na requisição HTTP
1444418941079,Falha na requisição HTTP
1787701192610,Falha na requisição HTTP
8555509777417,Falha na requisição HTTP
1444418295339,Falha na requisição HTTP
1444415142108,Falha na requisição HTTP
8555538819122,Falha na requisição HTTP
8444414135181,Falha na requisição HTTP
10209941,Falha na requisição HTTP
1444417341698,Falha na requisição HTTP
8444401363539,Falha na requisição HTTP
1444415253171,Falha na requisição HTTP
8444420362089,Falha na requisição HTTP
1444419652593,Falha na requisição HTTP
1444413231537,Falha na requisição HTTP
8444406830151,Falha na requisição HTTP
1444419449089,Falha na requisição HTTP
8444412051576,Falha na requisição HTTP
8444402027796,Falha na requisição HTTP
1787701317650,Falha na requisição HTTP
1444418834310,Falha na requisição HTTP
8787700284714,Falha na requisição HTTP
10209002,Falha na requisição HTTP
1787700712319,Falha na requisição HTTP
1555534998954,Falha na requisição HTTP
1444417684943,Falha na requisição HTTP
8555512053173,Falha na requisição HTTP
1444414764970,Falha na requisição HTTP
8444418804134,Falha na requisição HTTP
8444409225267,Falha na requisição HTTP
8555538572941,Falha na requisição HTTP
8444413162800,Falha na requisição HTTP
1444417756626,Falha na requisição HTTP
1444418952607,Falha na requisição HTTP
8444415510806,Falha na requisição HTTP
8444411028368,Falha na requisição HTTP
1444418850391,Falha na requisição HTTP
8444405199059,Falha na requisição HTTP
1444418291333,Falha na requisição HTTP
8444406774995,Falha na requisição HTTP
1787701030068,Falha na requisição HTTP
1444418423043,Falha na requisição HTTP
8046500623513,Falha na requisição HTTP
1444414638410,Falha na requisição HTTP
8444408723883,Falha na requisição HTTP
1444411064366,Falha na requisição HTTP
1444406922996,Falha na requisição HTTP
1444407686544,Falha na requisição HTTP
1555529558690,Falha na requisição HTTP
1444418494188,Falha na requisição HTTP
8444408491052,Falha na requisição HTTP
1444419834284,Falha na requisição HTTP
1444417949530,Falha na requisição HTTP
10208356,Falha na requisição HTTP
1444419861826,Falha na requisição HTTP
8787700687282,Falha na requisição HTTP
8444417218436,Falha na requisição HTTP
1555527730402,Falha na requisição HTTP
8444434156176,Falha na requisição HTTP
1444418821332,Falha na requisição HTTP
1444419674023,Falha na requisição HTTP
8444420760335,Falha na requisição HTTP
1444418841139,Falha na requisição HTTP
8444429093803,Falha na requisição HTTP
1444417871476,Falha na requisição HTTP
1444403881334,Falha na requisição HTTP
1444417136571,Falha na requisição HTTP
1787701569803,Falha na requisição HTTP
8444411323424,Falha na requisição HTTP
1444418475973,Falha na requisição HTTP
1787701641393,Falha na requisição HTTP
1444413110934,Falha na requisição HTTP
8223400050078,Falha na requisição HTTP
1444419631375,Falha na requisição HTTP
1787701485235,Falha na requisição HTTP
10211366,Falha na requisição HTTP
1444418038409,Falha na requisição HTTP
1444418641539,Falha na requisição HTTP
8787701129534,Falha na requisição HTTP
1444418875300,Falha na requisição HTTP
8444410317765,Falha na requisição HTTP
1444411800550,Falha na requisição HTTP
8787702805797,Falha na requisição HTTP
1555520924082,Falha na requisição HTTP
1787701792006,Falha na requisição HTTP
1444418178243,Falha na requisição HTTP
1444408189560,Falha na requisição HTTP
8444416647627,Falha na requisição HTTP
1444414562740,Falha na requisição HTTP
8555505067873,Falha na requisição HTTP
8444422687643,Falha na requisição HTTP
8444423253566,Falha na requisição HTTP
8444402776730,Falha na requisição HTTP
8444413187110,Falha na requisição HTTP
8444410561313,Falha na requisição HTTP
10214789,Falha na requisição HTTP
1555522664363,Falha na requisição HTTP
1415200000461,Falha na requisição HTTP
1444410741364,Falha na requisição HTTP
8555507969343,Falha na requisição HTTP
1787701311288,Falha na requisição HTTP
1555514544516,Falha na requisição HTTP
1444417504082,Falha na requisição HTTP
8155000037548,Falha na requisição HTTP
1444412876410,Falha na requisição HTTP
1787701358411,Falha na requisição HTTP
8555520082608,Falha na requisição HTTP
8444415993009,Falha na requisição HTTP
1444420689144,Falha na requisição HTTP
1444416434021,Falha na requisição HTTP
1444416773683,Falha na requisição HTTP
